date,price
2024-10-02,226.78
2024-10-01,226.21
2024-09-30,233.0
2024-09-27,227.79
2024-09-26,227.52
2024-09-25,226.37
2024-09-24,227.37
2024-09-23,226.47
2024-09-20,228.2
2024-09-19,228.87
2024-09-18,220.69
2024-09-17,216.79
2024-09-16,216.32
2024-09-13,222.5
2024-09-12,222.77
2024-09-11,222.66
2024-09-10,220.11
2024-09-09,220.91
2024-09-06,220.82
2024-09-05,222.38
2024-09-04,220.85
2024-09-03,222.77
2024-08-30,229.0
2024-08-29,229.79
2024-08-28,226.49
2024-08-27,228.03
2024-08-26,227.18
2024-08-23,226.84
2024-08-22,224.53
2024-08-21,226.4
2024-08-20,226.51
2024-08-19,225.89
2024-08-16,226.05
2024-08-15,224.72
2024-08-14,221.72
2024-08-13,221.27
2024-08-12,217.53
2024-08-09,216.24
2024-08-08,213.31
2024-08-07,209.82
2024-08-06,207.23
2024-08-05,209.27
2024-08-02,219.86
2024-08-01,218.36
2024-07-31,222.08
2024-07-30,218.8
2024-07-29,218.24
2024-07-26,217.96
2024-07-25,217.49
2024-07-24,218.54
2024-07-23,225.01
2024-07-22,223.96
2024-07-19,224.31
2024-07-18,224.18
2024-07-17,228.88
2024-07-16,234.82
2024-07-15,234.4
2024-07-12,230.54
2024-07-11,227.57
2024-07-10,232.98
2024-07-09,228.68
2024-07-08,227.82
2024-07-05,226.34
2024-07-03,221.55
2024-07-02,220.27
2024-07-01,216.75
2024-06-28,210.62
2024-06-27,214.1
2024-06-26,213.25
2024-06-25,209.07
2024-06-24,208.14
2024-06-21,207.49
2024-06-20,209.68
2024-06-18,214.29
2024-06-17,216.67
2024-06-14,212.49
2024-06-13,214.24
2024-06-12,213.07
2024-06-11,207.15
2024-06-10,193.12
2024-06-07,196.89
2024-06-06,194.48
2024-06-05,195.87
2024-06-04,194.35
2024-06-03,194.03
2024-05-31,192.25
2024-05-30,191.29
2024-05-29,190.29
2024-05-28,189.99
2024-05-24,189.98
2024-05-23,186.88
2024-05-22,190.9
2024-05-21,192.35
2024-05-20,191.04
2024-05-17,189.87
2024-05-16,189.84
2024-05-15,189.72
2024-05-14,187.43
2024-05-13,186.28
2024-05-10,183.05
